nohup: ignoring input
Generated base_lrs: ['0.100', '0.146', '0.213', '0.311', '0.453', '0.662', '0.965', '1.409', '2.056', '3.000']
=================================================================================
STARTING GRID SEARCH | Depths: [3, 6, 9] | LRs: [0.1, 0.14592328029610852, 0.21293603732376645, 0.3107232505953859, 0.4534175599114845, 0.6616417768614112, 0.9654893846056297, 1.408873780927246, 2.0558748363608466, 3.0] | Seeds: [42, 111, 1356]
=================================================================================

[Processing Depth 3] Saving to: depth-decoupled-var01ep20-depth:3-width:256-seeds_averaged.json
   -> LR: 0.1 Started across 3 seeds
   [Seed 1356 | Ep 5/20] Train Loss: 2.0194, Train Acc: 0.2426 | Valid Loss: 2.0151, Valid Acc: 0.2411 | Test Loss: 2.0127, Test Acc: 0.2451
   [Seed 1356 | Ep 6/20] Train Loss: 1.9965, Train Acc: 0.2511 | Valid Loss: 1.9958, Valid Acc: 0.2481 | Test Loss: 1.9916, Test Acc: 0.2502
   [Seed 1356 | Ep 7/20] Train Loss: 1.9764, Train Acc: 0.2581 | Valid Loss: 1.9798, Valid Acc: 0.2544 | Test Loss: 1.9761, Test Acc: 0.2535
   [Seed 1356 | Ep 8/20] Train Loss: 1.9599, Train Acc: 0.2631 | Valid Loss: 1.9739, Valid Acc: 0.2536 | Test Loss: 1.9679, Test Acc: 0.2544
   [Seed 1356 | Ep 9/20] Train Loss: 1.9406, Train Acc: 0.2749 | Valid Loss: 1.9552, Valid Acc: 0.2655 | Test Loss: 1.9485, Test Acc: 0.2640
   [Seed 1356 | Ep 10/20] Train Loss: 1.9334, Train Acc: 0.2811 | Valid Loss: 1.9321, Valid Acc: 0.2810 | Test Loss: 1.9252, Test Acc: 0.2781
   [Seed 1356 | Ep 11/20] Train Loss: 1.9328, Train Acc: 0.2742 | Valid Loss: 1.9588, Valid Acc: 0.2584 | Test Loss: 1.9534, Test Acc: 0.2615
   [Seed 1356 | Ep 12/20] Train Loss: 1.8827, Train Acc: 0.2942 | Valid Loss: 1.9071, Valid Acc: 0.2831 | Test Loss: 1.9006, Test Acc: 0.2848
   [Seed 1356 | Ep 13/20] Train Loss: 1.8599, Train Acc: 0.3001 | Valid Loss: 1.8711, Valid Acc: 0.3021 | Test Loss: 1.8647, Test Acc: 0.2947
   [Seed 1356 | Ep 14/20] Train Loss: 1.8821, Train Acc: 0.2944 | Valid Loss: 1.8971, Valid Acc: 0.2859 | Test Loss: 1.8950, Test Acc: 0.2869
   [Seed 1356 | Ep 15/20] Train Loss: 1.8239, Train Acc: 0.3191 | Valid Loss: 1.8274, Valid Acc: 0.3134 | Test Loss: 1.8250, Test Acc: 0.3128
   [Seed 1356 | Ep 16/20] Train Loss: 1.8371, Train Acc: 0.3145 | Valid Loss: 1.8441, Valid Acc: 0.3229 | Test Loss: 1.8439, Test Acc: 0.3218
   [Seed 1356 | Ep 17/20] Train Loss: 1.7875, Train Acc: 0.3305 | Valid Loss: 1.8013, Valid Acc: 0.3268 | Test Loss: 1.8035, Test Acc: 0.3282
   [Seed 1356 | Ep 18/20] Train Loss: 1.7709, Train Acc: 0.3428 | Valid Loss: 1.7551, Valid Acc: 0.3550 | Test Loss: 1.7557, Test Acc: 0.3455
   [Seed 1356 | Ep 19/20] Train Loss: 1.7602, Train Acc: 0.3399 | Valid Loss: 1.7846, Valid Acc: 0.3310 | Test Loss: 1.7864, Test Acc: 0.3271
   [Seed 1356 | Ep 20/20] Train Loss: 1.7417, Train Acc: 0.3444 | Valid Loss: 1.7552, Valid Acc: 0.3444 | Test Loss: 1.7590, Test Acc: 0.3404

   --- AVERAGED RESULTS ACROSS 3 SEEDS (LR: 0.1) ---
   [Averaged | Ep 1/20] Train Loss: 2.2091, Train Acc: 0.1910 | Valid Loss: 2.1984, Valid Acc: 0.1866 | Test Loss: 2.1961, Test Acc: 0.1873
   [Averaged | Ep 2/20] Train Loss: 2.0973, Train Acc: 0.2146 | Valid Loss: 2.0907, Valid Acc: 0.2035 | Test Loss: 2.0891, Test Acc: 0.2096
   [Averaged | Ep 3/20] Train Loss: 2.0689, Train Acc: 0.2258 | Valid Loss: 2.0652, Valid Acc: 0.2211 | Test Loss: 2.0634, Test Acc: 0.2256
   [Averaged | Ep 4/20] Train Loss: 2.0500, Train Acc: 0.2323 | Valid Loss: 2.0460, Valid Acc: 0.2270 | Test Loss: 2.0439, Test Acc: 0.2351
   [Averaged | Ep 5/20] Train Loss: 2.0291, Train Acc: 0.2394 | Valid Loss: 2.0253, Valid Acc: 0.2340 | Test Loss: 2.0229, Test Acc: 0.2408
   [Averaged | Ep 6/20] Train Loss: 2.0072, Train Acc: 0.2470 | Valid Loss: 2.0042, Valid Acc: 0.2404 | Test Loss: 2.0009, Test Acc: 0.2464
